Class,Subject,Book Name,Download Link
Class 1,Maths,Maths Magic,https://ncert.nic.in/textbook/pdf/aemh1dd.zip
Class 1,English,Marigold,https://ncert.nic.in/textbook/pdf/aeen1dd.zip
Class 1,English,Raindrops,https://ncert.nic.in/textbook/pdf/aerd1dd.zip
Class 2,Maths,Maths Magic,https://ncert.nic.in/textbook/pdf/bemh1dd.zip
Class 2,English,Marigold,https://ncert.nic.in/textbook/pdf/been1dd.zip
Class 2,English,Raindrops,https://ncert.nic.in/textbook/pdf/berd1dd.zip
Class 3,Maths,Maths Magic Part 3,https://ncert.nic.in/textbook/pdf/cemh1dd.zip
Class 3,Environmental Studies,Looking Around,https://ncert.nic.in/textbook/pdf/ceap1dd.zip
Class 3,English,Marigold,https://ncert.nic.in/textbook/pdf/ceen1dd.zip
Class 6,Science,Science,https://ncert.nic.in/textbook/pdf/fesc1dd.zip
Class 6,Maths,Mathematics,https://ncert.nic.in/textbook/pdf/femh1dd.zip
Class 6,Social Science - History,Our Pasts-I,https://ncert.nic.in/textbook/pdf/fess1dd.zip
Class 6,Social Science - Geography,The Earth Our Habitat,https://ncert.nic.in/textbook/pdf/fess2dd.zip
Class 6,Social Science - Civics,Social and Political Life-I,https://ncert.nic.in/textbook/pdf/fess3dd.zip
Class 6,English,A Pact With The Sun,https://ncert.nic.in/textbook/pdf/fepw1dd.zip
Class 6,English,HoneySuckle,https://ncert.nic.in/textbook/pdf/fehl1dd.zip
Class 7,Science,Science,https://ncert.nic.in/textbook/pdf/gesc1dd.zip
Class 7,Maths,Mathematics,https://ncert.nic.in/textbook/pdf/gemh1dd.zip
Class 7,Social Science - History,Our Past-II,https://ncert.nic.in/textbook/pdf/gess1dd.zip
Class 7,Social Science - Geography,Our Environment,https://ncert.nic.in/textbook/pdf/gess2dd.zip
Class 7,Social Science - Civics,Social and Political Life-II,https://ncert.nic.in/textbook/pdf/gess3dd.zip
Class 7,English,Honeycomb,https://ncert.nic.in/textbook/pdf/gehc1dd.zip
Class 7,English,An Alien Hand Supplementary Reader,https://ncert.nic.in/textbook/pdf/geah1dd.zip
Class 8,Science,Science,https://ncert.nic.in/textbook/pdf/hesc1dd.zip
Class 8,Maths,Mathematics,https://ncert.nic.in/textbook/pdf/hemh1dd.zip
Class 8,Social Science - History,Our Past-III Part 1,https://ncert.nic.in/textbook/pdf/hess1dd.zip
Class 8,Social Science - History,Our Past-III Part 2,https://ncert.nic.in/textbook/pdf/hess2dd.zip
Class 8,Social Science - Civics,Social and Political Life,https://ncert.nic.in/textbook/pdf/hess3dd.zip
Class 8,Social Science - Geography,Resource and Development,https://ncert.nic.in/textbook/pdf/hess4dd.zip
Class 8,English,HoneyDew,https://ncert.nic.in/textbook/pdf/hehd1dd.zip
Class 8,English,It So Happened,https://ncert.nic.in/textbook/pdf/heih1dd.zip
Class 9,Science,Science,https://ncert.nic.in/textbook/pdf/iesc1dd.zip
Class 9,Maths,Mathematics,https://ncert.nic.in/textbook/pdf/iemh1dd.zip
Class 9,Social Science - Geography,Contemporary India,https://ncert.nic.in/textbook/pdf/iess1dd.zip
Class 9,Social Science - Economics,Economics,https://ncert.nic.in/textbook/pdf/iess2dd.zip
Class 9,Social Science - History,India and the Contemporary World-I,https://ncert.nic.in/textbook/pdf/iess3dd.zip
Class 9,Social Science - Civics,Democratic Politics,https://ncert.nic.in/textbook/pdf/iess4dd.zip
Class 10,Science,Science,https://ncert.nic.in/textbook/pdf/jesc1dd.zip
Class 10,Maths,Mathematics,https://ncert.nic.in/textbook/pdf/jemh1dd.zip
Class 10,Social Science - Geography,Contemporary India,https://ncert.nic.in/textbook/pdf/jess1dd.zip
Class 10,Social Science - Economics,Understanding Economic Development,https://ncert.nic.in/textbook/pdf/jess2dd.zip
Class 10,Social Science - History,India and the Contemporary World-II,https://ncert.nic.in/textbook/pdf/jess3dd.zip
Class 10,Social Science - Civics,Democratic Politics-II,https://ncert.nic.in/textbook/pdf/jess4dd.zip
Class 10,English,First Flight,https://ncert.nic.in/textbook/pdf/jeff1dd.zip
Class 10,English,Footprints Without Feet,https://ncert.nic.in/textbook/pdf/jefp1dd.zip
Class 11,Physics,Physics Part 1,https://ncert.nic.in/textbook/pdf/keph1dd.zip
Class 11,Physics,Physics Part 2,https://ncert.nic.in/textbook/pdf/keph2dd.zip
Class 11,Chemistry,Chemistry Part 1,https://ncert.nic.in/textbook/pdf/kech1dd.zip
Class 11,Chemistry,Chemistry Part 2,https://ncert.nic.in/textbook/pdf/kech2dd.zip
Class 11,Maths,Mathematics,https://ncert.nic.in/textbook/pdf/kemh1dd.zip
Class 11,Biology,Biology,https://ncert.nic.in/textbook/pdf/kebo1dd.zip
Class 11,Accountancy,Financial Accounting-1,https://ncert.nic.in/textbook/pdf/keac1dd.zip
Class 11,Accountancy,Accountancy-2,https://ncert.nic.in/textbook/pdf/keac2dd.zip
Class 11,Business Studies,Business Studies,https://ncert.nic.in/textbook/pdf/kebs1dd.zip
Class 11,Economics,Indian Economic Development,https://ncert.nic.in/textbook/pdf/keec1dd.zip
Class 11,Geography,Indian Physical Environment,https://ncert.nic.in/textbook/pdf/kegy1dd.zip
Class 11,Geography,Practical Work in Geography,https://ncert.nic.in/textbook/pdf/kegy3dd.zip
Class 11,Geography,Fundamentals of Physical Geography,https://ncert.nic.in/textbook/pdf/kegy3dd.zip
Class 11,History,Themes in World History,https://ncert.nic.in/textbook/pdf/kehs1dd.zip
Class 11,Political Science,Indian Constitution at Work,https://ncert.nic.in/textbook/pdf/keps2dd.zip
Class 11,Political Science,Political Theory,https://ncert.nic.in/textbook/pdf/keps1dd.zip
Class 11,Psychology,Introduction to Psychology,https://ncert.nic.in/textbook/pdf/kepy1dd.zip
Class 11,Sociology,Introducing Sociology,https://ncert.nic.in/textbook/pdf/kesy1dd.zip
Class 11,English,Hornbill,https://ncert.nic.in/textbook/pdf/kehb1dd.zip
Class 11,English,Snapshots Supplementary Reader,https://ncert.nic.in/textbook/pdf/kesp1dd.zip
Class 11,English,Woven Words,https://ncert.nic.in/textbook/pdf/keww1dd.zip
Class 12,Physics,Physics Part 1,https://ncert.nic.in/textbook/pdf/leph1dd.zip
Class 12,Physics,Physics Part 2,https://ncert.nic.in/textbook/pdf/leph2dd.zip
Class 12,Chemistry,Chemistry Part 1,https://ncert.nic.in/textbook/pdf/lech1dd.zip
Class 12,Chemistry,Chemistry Part 2,https://ncert.nic.in/textbook/pdf/lech2dd.zip
Class 12,Maths,Mathematics Part 1,https://ncert.nic.in/textbook/pdf/lemh1dd.zip
Class 12,Maths,Mathematics Part 2,https://ncert.nic.in/ncerts/l/lemh2dd.zip
Class 12,Biology,Biology,https://ncert.nic.in/textbook/pdf/lebo1dd.zip
Class 12,Accountancy,Accountancy 1,https://ncert.nic.in/textbook/pdf/leac1dd.zip
Class 12,Accountancy,Accountancy 2,https://ncert.nic.in/textbook/pdf/leac2dd.zip
Class 12,Business Studies,Business Studies 1,https://ncert.nic.in/textbook/pdf/lebs1dd.zip
Class 12,Business Studies,Business Studies 2,https://ncert.nic.in/textbook/pdf/lebs2dd.zip
Class 12,Economics,Introductory Microeconomics,https://ncert.nic.in/textbook/pdf/leec2dd.zip
Class 12,Economics,Introductory Macroeconomics,https://ncert.nic.in/textbook/pdf/leec1dd.zip
Class 12,Geography,Fundamentals of Human Geography,https://ncert.nic.in/textbook/pdf/legy1dd.zip
Class 12,Geography,India - People and Economy,https://ncert.nic.in/textbook/pdf/legy2dd.zip
Class 12,Geography,Practical Working Geography Part II,https://ncert.nic.in/textbook/pdf/legy3dd.zip
Class 12,History,Themes in Indian History 1,https://ncert.nic.in/textbook/pdf/lehs1dd.zip
Class 12,History,Themes in Indian History 2,https://ncert.nic.in/textbook/pdf/lehs2dd.zip
Class 12,History,Themes in Indian History 3,https://ncert.nic.in/textbook/pdf/lehs3dd.zip
Class 12,Political Science,Contemporary World Politics,https://ncert.nic.in/textbook/pdf/leps1dd.zip
Class 12,Political Science,Political Science 2,https://ncert.nic.in/textbook/pdf/leps2dd.zip
Class 12,Psychology,Psychology,https://ncert.nic.in/textbook/pdf/lepy1dd.zip
Class 12,Sociology,Indian Society,https://ncert.nic.in/textbook/pdf/lesy1dd.zip
Class 12,Sociology,Social Change and Development India,https://ncert.nic.in/textbook/pdf/lesy2dd.zip
Class 12,English,Flamingo,https://ncert.nic.in/textbook/pdf/lefl1dd.zip
Class 12,English,Kaleidoscope,https://ncert.nic.in/textbook/pdf/lekl1dd.zip
Class 12,English,Vistas,https://ncert.nic.in/textbook/pdf/levt1dd.zip
